4,0.03645974727586548,0.03645974727586548
C,172.0,172.0
L,56676.03967728512,56676.03967728512
T,583.6006608237063,583.6006608237063

8,0.03774016298964921,0.03774016298964921
C,336.0,336.0
L,57206.671426538,57206.671426538
T,605.4753637848282,605.4753637848282

12,0.03803026888838319,0.03803026888838319
C,528.0,528.0
L,56067.22469794286,56067.22469794286
T,616.1226000612057,616.1226000612057

16,0.037531468081688085,0.03741551439690442
C,656.0,720.0
L,55602.174450802035,55449.92031406003
T,566.565656402668,622.1233764765501

20,0.04028286727377474,0.03994548878590323
C,860.0,880.0
L,54148.243639325534,56055.68336794061
T,632.8740375842444,647.1392385176196

