2,0.0429098300067,0.0420758774666,0.040830800024,0.0411800652006,0.0411135077232,0.0416613314395,0.0395961114637,0.0402325729601,0.0379304568,0.0388995826993,0.0388995826993,0.0395691352612,0.0395691352612,0.0401365612289,0.0401365612289,0.0388186052065,0.0388186052065,0.0405475431702,0.04011154625,0.0396127002648,0.0390694130085,0.0390694130085,0.0390694130085,0.0396127002648,0.0396127002648,0.0396028841174,0.0396127002648,0.0394202206491,0.039060367214,0.0374148397968,0.0374148397968,0.0381290984311,0.0374613397676,0.0379007609745,0.0379007609745,0.0391732683017,0.0389742600827,0.038216210321,0.0381774217509,0.0379547566156,0.0379547566156,0.0379547566156,0.0370126382736,0.0379547566156,0.0374795985333,0.0367798573292,0.0367798573292,0.0371949589791,0.0369719144626,0.0369719144626
C,468.256091611,470.012823563,419.548267609,459.915546049,460.127863836,459.915546049,468.256091611,461.64749631,470.775791333,451.787318274,455.82665047,469.988041872,448.049981194,428.497631849,463.583159044,447.5108866,432.344175627,453.306950748,465.948709675,463.583159044,468.256091611,440.902291299,445.178722973,466.102858767,440.902291299,453.306950748,446.723137138,461.64749631,464.167196032,433.888589793,422.092749022,442.837954033,453.306950748,459.915546049,435.10622715,444.966405186,423.240662295,461.672278001,417.419816456,449.267618552,425.977932127,468.256091611,427.304776183,459.915546049,449.267618552,461.64749631,453.306950748,444.966405186,463.583159044,461.64749631,427.888813171,435.10622715,430.017264323,432.561745737,453.331732439,453.306950748,447.114385708,420.157086288,409.663307882,461.672278001,402.470675593,417.419816456,455.851432162,457.608164114,440.902291299,459.915546049,464.191977723,461.063459322,490.758028574,464.191977723,447.5108866,476.596637173,445.966472435,476.596637173,478.353369125,449.267618552,438.773840146,476.596637173,474.07693745,459.127796587,425.977932127,427.304776183,451.787318274,444.966405186,410.836002846,468.256091611,482.417483012,455.851432162,474.07693745,460.890831606,455.242613483,453.698199317,448.658799873,474.07693745,454.307017996,456.974563743,476.596637173,444.966405186,453.331732439,453.306950748
L,92584.8189825,92468.3463985,93281.3047265,93525.3926025,91489.8549975,92837.6542822,90653.8931825,88963.7857982,91107.342348,92146.4255447,92505.464721,88951.4274279,92582.7829528,93954.9485197,92659.3724478,93647.1747949,93291.9004042,91624.4466845,89427.2464993,92874.1019446,92611.6591595,93513.0982101,92393.9347897,88953.6699231,93938.8678495,92298.9357034,94008.107632,89405.9018774,87646.2824022,93166.4038104,94520.0653426,87040.0445355,92950.8636882,92799.7359792,93610.3935976,92123.6135947,92018.3903091,93477.0219432,93283.9113495,93261.1149263,94049.3064714,88982.950665,92562.0617992,91012.4905462,91856.5937011,92936.6351272,92950.8636882,93067.4673585,92696.5840119,88694.7854979,93802.5429681,94178.0861975,90562.4447029,92712.6806302,93142.4083045,92211.3437639,92290.8369757,94507.1652574,92936.2593074,93790.2735314,92936.2593074,93246.6997854,93640.0653365,90134.5357134,94322.3599452,91761.0774377,94451.8053569,91208.3981936,86826.6137511,90692.1954407,92690.2324762,89631.725295,93965.9412647,88636.5244784,88710.1482832,94511.8321602,92645.1224,88162.1144261,93112.7997806,93129.6371103,93871.7885388,92562.0617992,93771.5229371,91086.9210783,93359.645343,90691.7106932,91507.458893,94333.9750323,87972.7320005,92928.3304915,90810.1971335,84667.0928005,92441.9651816,90821.566035,92965.8697231,86070.6972614,90025.0567856,92722.874005,92445.0735389,93753.23197
T,769.266248967,906.347498524,651.498183923,830.415002236,809.075617169,828.482110442,792.764556516,832.245169651,787.846090788,716.41788299,759.634162222,785.98072282,845.927291926,697.373306397,753.74055412,711.859905105,755.754392888,736.338295983,815.914016654,797.007290658,758.645728429,736.695317207,753.555423456,862.471540346,769.017002538,762.044768919,761.074818777,774.672877321,792.520413042,724.665302373,716.189893669,697.152034147,770.439297071,812.532985505,728.60757122,791.215888636,770.654884538,748.661933381,707.282566791,775.873177368,747.536605559,725.256449025,807.626721983,811.457646825,747.574062301,862.71527141,770.439297071,740.394555314,775.926972806,748.966404385,717.332007371,719.920989189,762.599673548,709.70101477,814.218931724,790.514311871,806.654388343,701.908719146,627.065886866,813.516345171,639.259982074,660.695416616,734.450326187,760.903747468,745.460647953,801.822157371,773.235590708,821.759738975,957.573119073,728.548447435,721.008860269,902.294785136,706.783580164,830.729948651,832.659248754,828.76820886,745.399357067,839.603630222,852.728649133,827.263489901,721.389687453,773.233667016,753.019103345,757.766731216,714.054962664,853.726210245,829.475230483,752.613717021,877.083138828,762.373211361,906.322662873,753.334151206,764.724147234,857.110085712,804.634539456,864.14601518,812.640675892,740.172131967,839.329045279,773.903943853

3,0.0414060386697,0.0390088822899,0.0388013045944,0.0371489172904,0.0371489172904,0.0368788146148,0.0368788146148,0.0368788146148,0.0368788146148,0.0365922195257,0.0359697541348,0.0362969735705,0.0357313414847,0.0357313414847,0.0363508508501,0.0363864284248,0.0366500891698,0.0360919073913,0.0360919073913,0.0356718457699,0.0360181726167,0.0362595924978,0.0355728764289,0.035473497429,0.035473497429,0.035473497429,0.036054494297,0.0354993744858,0.0333605118109,0.0347357424617,0.0347357424617,0.0345001901525,0.0353114312462,0.0350468415293,0.0346166382915,0.0346166382915,0.0346166382915,0.0342069935488,0.0352709936555,0.0343294856515,0.0343294856515,0.0343294856515,0.0346252937679,0.0344074809238,0.0344074809238,0.0344074809238,0.0344074809238,0.034357457441,0.034357457441,0.034357457441
C,395.50191648,387.700465513,370.083778903,409.842238664,384.424101087,381.879619673,369.474960224,382.488438352,416.247121492,403.867243734,403.842462042,402.649606376,401.32276232,415.663084504,394.284279123,409.842238664,389.457197465,397.437579215,366.930478811,396.041011075,381.879619673,370.083778903,362.891146614,407.297757251,381.879619673,413.727421769,435.260376242,399.342157192,414.291298055,422.246898114,369.474960224,397.437579215,381.879619673,394.130130031,405.169306098,399.194311167,413.11860309,393.521311352,387.700465513,381.879619673,396.041011075,357.070300775,384.424101087,369.474960224,408.470452215,362.891146614,370.083778903,387.700465513,384.424101087,399.342157192,394.893097802,385.393083577,387.700465513,362.891146614,377.815505786,409.842238664,402.649606376,387.700465513,410.990151937,390.853765605,369.474960224,372.019441638,362.891146614,387.700465513,390.220165235,407.90657593,357.070300775,387.700465513,408.470452215,381.879619673,394.893097802,377.840287477,428.676562632,387.700465513,366.930478811,394.893097802,409.842238664,369.474960224,397.437579215,402.649606376,393.521311352,410.990151937,409.842238664,369.474960224,397.437579215,370.083778903,407.90657593,402.649606376,381.116651903,382.488438352,435.260376242,408.470452215,394.130130031,396.828760536,397.437579215,381.879619673,409.842238664,410.202402476,395.50191648,370.083778903
L,93105.3383278,92153.7252752,92977.2987694,92153.7877752,93356.314443,92153.9127752,92977.2987694,92977.1112694,92889.9642545,93191.3915594,93167.7124303,90473.8378402,93557.2157215,90939.0498044,92125.3190672,92153.7877752,93069.1664706,92977.1737694,91859.5796606,92153.5377752,92153.9127752,92977.2987694,93117.0261638,92665.2321113,92153.9127752,93356.5657516,93827.3985563,90952.8769473,91287.1934956,92451.5007637,92977.2987694,93639.7621389,93058.0168683,92779.7783166,92586.77717,93191.2665594,92295.2477189,93190.6438373,91795.8357502,92153.9127752,90473.5878402,92977.4862694,93356.314443,92977.2987694,90939.1748044,92977.2987694,93247.9862033,92884.8483103,93356.314443,90952.8769473,92153.7252752,91949.4088696,91795.8357502,92977.2987694,92985.3713727,92455.6542926,92586.77717,91795.8357502,92901.4039495,92977.1737694,92153.9752752,93356.501943,98834.9143727,91795.8357502,92482.0894089,92642.4714236,92977.4862694,91795.8357502,90939.1748044,92153.9127752,92153.7252752,92780.2783166,91507.0944865,92884.8483103,93058.0793683,92884.8483103,92586.77717,92977.2987694,92977.1737694,90473.8378402,90473.7128402,92586.58967,92153.7877752,93247.9862033,93356.126943,92977.2987694,92455.5292926,92586.77717,92779.9658166,92977.1112694,93672.2155935,90939.1748044,92779.7783166,92586.96467,93247.8612033,92455.7792926,100508.218097,91307.0855257,93387.3630921,92977.2987694
T,623.07924504,627.863081319,600.885481229,632.896833089,659.919496789,627.863081319,605.919232998,600.885481229,680.216041385,676.100233823,640.935671554,649.077570123,639.961558839,703.077833914,669.889118755,632.896833089,629.368988005,605.919232998,621.588987589,627.863081319,632.896833089,605.919232998,619.88822945,698.364755525,627.863081319,659.063443523,765.933154407,693.065095581,708.342036749,680.132308154,600.885481229,664.482887519,632.638590443,622.099970033,686.897096879,676.100233823,683.858115207,634.237869258,638.471301389,632.896833089,644.043818354,600.885481229,659.919496789,600.885481229,703.077833914,600.885481229,613.18825097,630.685092506,652.180117778,737.470922246,627.863081319,630.395903431,638.471301389,600.885481229,636.964678962,643.140022488,686.897096879,638.471301389,691.46048761,605.919232998,632.896833089,659.919496789,607.927936156,638.471301389,698.262325517,649.170595422,605.919232998,646.865829541,703.077833914,627.863081319,627.863081319,622.099970033,723.71680592,622.290564354,629.664419016,622.290564354,686.897096879,605.919232998,605.919232998,649.077570123,644.043818354,686.897096879,632.896833089,613.18825097,652.180117778,605.919232998,640.16585106,686.897096879,622.099970033,600.885481229,740.163144878,703.077833914,617.066218264,679.157717869,616.162422398,640.16585106,624.683599665,666.94266804,622.192995331,605.919232998

4,0.0424390706934,0.0401504071999,0.0414607253298,0.0400557072276,0.0400557072276,0.0400557072276,0.0414607253298,0.0414607253298,0.0389251538625,0.0392103629944,0.0400858903492,0.039667195021,0.0397746560414,0.039312224321,0.039312224321,0.0388581967449,0.0388581967449,0.0375219384624,0.0388581967449,0.0388581967449,0.0379450318188,0.0379450318188,0.0365929686474,0.0359633358122,0.0359633358122,0.0361134903074,0.0364000098838,0.0367152902068,0.0383849329387,0.0381831108026,0.0381831108026,0.0381140948473,0.036456579201,0.038212156463,0.0380732923631,0.0377087975243,0.0377087975243,0.0369315041265,0.0369315041265,0.0362262329027,0.0362262329027,0.0366833551823,0.0366833551823,0.0366833551823,0.0364825389506,0.0353852288782,0.0369315041265,0.0358722393884,0.0358722393884,0.036781312969
