"[[ 0.   0.   0.   0.   0.1  0.   0.   0.   0.   0. ]
 [ 0.   0.   0.   0.   0.   0.1  0.   0.   0.   0. ]
 [ 0.   0.   0.   0.   0.   0.   0.1  0.   0.   0. ]
 [ 0.   0.   0.   0.   0.   0.   0.1  0.1  0.   0. ]
 [ 0.1  0.   0.   0.   0.   0.1  0.   0.   0.   0. ]
 [ 0.   0.1  0.   0.   0.1  0.   0.   0.   0.1  0. ]
 [ 0.   0.   0.1  0.1  0.   0.   0.   0.   0.1  0. ]
 [ 0.   0.   0.   0.1  0.   0.   0.   0.   0.1  0.1]
 [ 0.   0.   0.   0.   0.   0.1  0.1  0.1  0.   0. ]
 [ 0.   0.   0.   0.   0.   0.   0.   0.1  0.   0. ]]",1.51119853208,1.46892989673,1.49835274676,1.49835274676,1.49835274676,1.49835274676,1.22524137077,1.17670619663,1.17670619663,1.17670619663,1.17670619663,1.17670619663,1.22524137077,1.13835971708,1.13835971708,1.12566137305,1.12566137305,1.12566137305,1.12566137305,1.11796468688,1.12566137305,1.10068597583,1.10229272153,1.05368089942,1.04249145785,1.04249145785,1.04249145785,1.05012004229,1.05757914444,1.05757914444,1.10483369339,1.09679843329,1.06113200134,1.0580047705,1.0580047705,1.0580047705,1.05757914444,1.05757914444,1.05757914444,1.05757914444,1.10229272153,1.07091741705,1.07078943619,1.0442588652,1.07091741705,1.02511145712,1.04532356661,1.04532356661,1.03761197694,1.02511145712
C,377.052538016,371.231692176,377.052538016,397.822524718,397.258648433,405.015157007,392.001678878,377.052538016,392.001678878,390.066016144,377.052538016,392.001678878,392.001678878,392.001678878,371.231692176,377.052538016,399.194311167,393.733629139,379.572237738,405.015157007,371.231692176,377.052538016,377.052538016,377.052538016,398.406561706,405.015157007,405.015157007,380.359987199,377.052538016,377.052538016,377.052538016,392.001678878,405.015157007,371.231692176,377.052538016,389.481979156,392.001678878,377.052538016,392.001678878,392.001678878,377.052538016,377.052538016,405.015157007,392.001678878,392.001678878,377.052538016,390.066016144,392.001678878,390.066016144,392.001678878,382.873383855,377.052538016,380.359987199,377.052538016,377.052538016,392.001678878,379.572237738,377.052538016,405.015157007,379.572237738,392.001678878,392.001678878,392.001678878,377.052538016,386.180833039,377.052538016,399.194311167,392.001678878,393.733629139,390.066016144,371.231692176,377.052538016,392.001678878,377.052538016,377.052538016,405.015157007,377.052538016,389.481979156,377.052538016,377.052538016,371.231692176,377.052538016,391.213929417,392.001678878,392.001678878,399.194311167,377.052538016,377.052538016,392.001678878,377.052538016,382.873383855,392.001678878,377.052538016,392.001678878,371.231692176,377.052538016,397.822524718,377.052538016,391.437802593,392.001678878
