6,0.0397832300841,0.0397832300841,0.0397832300841,0.0378480576989,0.0378480576989,0.0378480576989,0.0378480576989,0.0386038768588,0.03678946516,0.0361280904293
C,536.870453113,506.972171388,494.567511938,492.226742999,505.240221127,528.529907552,468.744268156,499.444156979,518.644947825,511.848816428,489.489473167,514.36851615,511.848816428,499.419375287,500.207124749,536.870453113,472.808382043,523.856974985,510.304402263,484.386031143,494.567511938,506.972171388,477.847781488,520.18936199,474.026019401,474.540332304,484.470234425,475.149150983,515.516429423,505.240221127,482.880877866,475.328081766,531.049607274,524.465793664,528.529907552,484.386031143,484.277446006,505.631469696,480.406120537,507.175883862,509.695583584,520.18936199,520.18936199,501.176107239,501.355038022,513.580766689,499.444156979,506.972171388,488.499708413,536.870453113,523.856974985,484.277446006,493.623311139,511.848816428,492.226742999,507.78470254,507.78470254,494.746442721,494.567511938,515.516429423,497.830018729,516.125248102,500.207124749,531.049607274,488.341559894,492.835561678,528.529907552,482.366564963,528.529907552,505.240221127,497.290924135,481.148927605,507.78470254,505.240221127,518.036129146,506.972171388,494.771224412,510.304402263,507.175883862,500.207124749,516.100466411,490.291080264,468.540555682,520.18936199,474.877411605,477.10497442,521.921312251,507.78470254,507.78470254,518.036129146,511.452315536,498.8353383,499.444156979,497.830018729,469.521093562,511.848816428,497.830018729,501.963856701,481.757746284,497.290924135
L,114530.31224,111382.602294,117495.844713,113291.46574,118523.231968,116969.235537,117837.140784,124295.508406,116271.242316,114068.613442,122025.823763,118199.700859,122240.469929,113915.911132,122630.025582,99636.9378618,121508.30335,112835.801556,114997.53288,113212.447799,117275.530323,107519.65423,118432.167491,116300.108429,124041.848405,121191.722826,118269.6383,119515.198121,119318.112042,119535.401985,112121.351418,120398.356492,116277.743346,116946.409482,118109.459542,124212.080403,113619.03707,114792.882267,122153.751269,117560.938219,109580.272252,111654.490428,114910.220816,120177.67163,114731.383069,107843.090312,122390.626662,116420.126896,123029.345119,116550.459005,107957.889398,107783.254792,123922.092974,124359.877369,122128.209419,117435.547232,113456.096107,114741.655171,117495.844713,117448.28326,113409.392098,123127.824796,123335.774122,117497.224995,116280.525532,122086.360324,117977.122393,116915.336409,113860.670722,114410.604815,117444.687625,116713.713182,123577.72628,120516.548624,108437.75642,114079.433462,117675.778559,117920.091866,120572.670362,124083.568642,111653.806757,116732.517048,108524.825293,104732.436399,129374.264027,110157.889111,117449.879853,123127.949796,114462.169819,114611.463576,114284.885893,121463.398697,122938.126808,120703.567681,122649.116647,114083.634573,114686.540493,111786.556923,107029.46944,119417.271973
T,1163.37043531,1286.0572451,1083.69705623,926.022956199,968.404829292,1023.57484506,1055.73086731,876.49936968,1004.94952859,1009.86999712,968.971907581,922.689127891,1006.03251127,1002.85011398,826.439973029,1258.77192456,885.960701555,1169.3857416,959.774629835,1118.66595248,1107.96970531,1140.27394749,997.986530017,1110.73463323,880.449774823,889.329786724,969.902869511,1007.92820851,982.435873768,975.535592922,1027.99594771,917.568122737,1114.34915808,1166.7870434,1137.8956689,976.245791689,921.507366486,1134.90009691,854.568363101,890.245269628,980.756702354,1086.64099414,1014.13675703,1009.50877713,966.543430213,1121.73228658,938.563099146,1162.19095663,789.664519046,1148.05246103,1152.36707789,929.971350151,794.007375219,1012.55365563,877.255018541,1094.14550881,990.045933683,924.166395411,1110.10611572,991.82660724,1179.91621409,897.640474546,835.313654599,947.382635056,989.061823309,981.755446876,1110.39400728,1013.96691477,985.393435291,975.056502597,995.68962339,1004.10391563,972.192189793,906.48476869,1136.72475124,1040.55955864,1115.03961488,1057.49329125,1063.21481006,937.700231349,1144.18720784,1005.25373537,1062.58545457,1079.588876,894.559511741,1219.03024489,1163.96634045,889.901095535,1121.88819257,1167.19111166,1108.08822529,970.365093529,944.014292471,1024.43518246,975.332602485,1027.08235926,1135.88463616,1033.61496309,906.370541624,926.689390087

7,0.0328342900474,0.0328342900474,0.0328342900474,0.0328342900474,0.0328342900474,0.0328342900474,0.0328342900474,0.0328342900474,0.0328342900474,0.0328342900474
C,601.951644542,583.513821466,585.270553418,589.334667305,597.675212867,601.951644542,504.470715587,597.675212867,545.779448873,570.321412555,576.930007856,589.334667305,570.321412555,606.015758429,597.675212867,583.513821466,550.294232921,608.535458151,542.166005146,589.334667305,606.015758429,614.356303991,606.015758429,589.334667305,591.854367028,597.675212867,569.712593876,597.675212867,589.334667305,597.675212867,589.334667305,569.495023767,548.967388865,534.434278263,551.851695533,570.321412555,528.004613745,586.730764301,597.675212867,593.61109898,574.385526443,601.342825863,589.334667305,583.513821466,597.675212867,589.334667305,601.951644542,589.334667305,582.726072004,513.080254573,591.854367028,543.843786139,558.634778483,606.015758429,588.938166413,614.356303991,561.372048314,608.535458151,608.535458151,558.634778483,597.675212867,593.002280301,597.675212867,559.43638558,597.675212867,606.015758429,533.825459584,529.761345697,589.334667305,544.685704868,498.13111371,574.385526443,578.8408889,597.675212867,552.762509328,521.420800135,542.166005146,606.015758429,584.211064579,597.675212867,544.473387081,614.356303991,566.975324044,564.525348407,534.434278263,542.166005146,570.712661125,606.015758429,580.725128319,513.080254573,568.801780081,579.988802173,582.726072004,589.334667305,572.865893969,597.675212867,561.372048314,597.675212867,576.930007856,614.356303991
L,159226.301929,173922.259445,162042.419335,178829.87043,165591.329726,166147.167985,176886.452508,170536.623339,176532.808685,176469.625091,176519.033914,176814.432029,178156.687909,166860.629041,167359.009478,172838.486594,175871.990923,162659.162387,176187.58476,170924.067252,164131.682865,149546.683277,164283.897494,176213.503014,169403.089074,169294.273553,173996.845469,160222.962938,176023.737045,163137.274877,176058.457922,166345.45556,175223.15302,162528.496302,174520.203382,159290.843027,165450.66598,173854.605109,168679.855142,166988.744628,176213.440514,150098.947076,174144.176666,173495.017178,177270.827073,174972.28537,163036.053136,174972.28537,156568.192456,176631.057686,161936.264596,174468.860013,161965.949894,168165.221121,161929.361248,155877.180441,174942.093346,162563.666369,157923.092777,169820.317229,168030.50355,163956.50095,162096.996866,173305.587083,169506.176526,168507.566646,178250.468274,167313.971888,176578.507264,172094.634454,175557.47131,177399.028566,169276.689784,177785.938696,176694.671121,176186.51463,169090.747217,160095.46457,174773.452011,169610.645988,175468.311731,162351.740228,163347.160144,177723.638804,164492.850255,170554.434325,157361.802064,168165.221121,175355.371548,177178.064239,174784.502604,172405.408191,173907.770392,177760.129592,167508.545784,158296.800483,176941.218125,163775.288899,171994.362907,142348.645015
T,1461.64848107,1009.62629575,1194.54115118,1054.22658612,1134.13322783,1223.48318199,927.492766473,1334.52575186,956.874225508,1124.03182531,1019.75723785,1085.59315875,1160.19270179,1188.72082781,1207.32124498,1008.73370975,1031.71719924,1119.94661547,1042.67305324,1239.49731174,1182.87634953,1533.83333391,1242.97587743,1009.88203539,1140.83112319,1162.27467501,1095.18435276,1193.38676748,1121.8340534,1206.33900153,1128.09121636,1166.39464649,976.428949907,1031.46363027,1049.81889886,1211.91281061,1154.35792007,993.231213043,1118.27202283,1223.47827602,1009.88203539,1364.60551058,1082.78092704,1103.59819337,1106.25594729,1173.54377558,1365.2744588,1189.10622145,1272.87325986,904.977933567,1134.6894659,1011.06801621,1102.95414859,1167.06676818,1312.94885091,1406.83013519,1109.49103284,1216.07395297,1272.31446751,1084.34036586,1135.36464769,1165.00619642,1241.19970363,1078.32251701,1186.98394508,1162.10595632,989.770396612,1048.81204877,1206.26921936,1111.26222335,884.233312123,1043.39142393,1155.1375466,1223.67815972,1184.86638848,894.734744168,1090.03358581,1251.26759688,1143.66932248,1348.01113624,1002.22510355,1250.12785345,1135.68467077,1091.42921696,1021.22044087,1176.13636296,1308.75305237,1317.9783664,1064.04853282,917.249577074,1038.03654266,1128.15579332,1046.23929192,1103.24426706,1160.66355994,1251.77983529,1183.49627999,1412.909526,1086.0766934,1411.72421306

8,0.0313014180907,0.0313014180907,0.0313014180907,0.0313014180907,0.0313014180907,0.0313014180907,0.0313014180907,0.0313014180907,0.0313014180907,0.0313014180907
