-13.285714285714286,0.0393649171176,0.0393649171176,0.0381840999711
C,458.910226478,484.937182734,482.417483012,490.758028574,484.937182734,438.594909363,462.795409583,458.910226478,435.620540053,490.758028574,466.102858767,461.063459322,479.116336895,421.69624813,474.07693745,453.544050226,474.07693745,465.339890996,484.937182734,447.114385708,484.937182734,465.948709675,490.758028574,452.935231547,490.758028574,490.758028574,456.614399932,477.744550446,436.254140424,490.758028574,467.468342149,477.744550446,490.758028574,482.417483012,490.758028574,432.774063524,461.64749631,490.758028574,490.758028574,475.808887711,430.587443675,468.256091611,490.758028574,471.923704606,437.017108194,429.645545123,471.923704606,431.805081033,482.417483012,484.937182734,477.744550446,490.758028574,479.116336895,465.948709675,452.519201286,449.267618552,469.988041872,460.859746848,482.417483012,490.758028574,490.758028574,469.988041872,465.948709675,490.758028574,490.758028574,477.744550446,479.116336895,452.935231547,477.744550446,444.178655725,446.704658514,484.937182734,490.758028574,478.353369125,449.421767643,465.948709675,490.758028574,490.758028574,484.937182734,438.594909363,490.758028574,490.758028574,460.127863836,438.594909363,453.089380638,465.948709675,477.744550446,484.937182734,466.102858767,447.114385708,452.935231547,458.910226478,490.758028574,490.758028574,482.417483012,436.838177411,459.519045157,449.421767643,482.417483012,445.178722973
L,67419.5218927,68886.1996861,69118.8694887,56568.4655736,59470.4684575,60502.5393152,63056.6597998,72113.3398303,70671.0922947,57393.1267077,65507.5772966,72637.7692508,66365.1479302,70209.6265315,73295.4470461,59063.8423019,67515.4966343,56202.8725053,67572.2444032,68977.9281411,70634.9350103,68784.0968309,61734.1163372,69362.0011207,57218.8652362,68481.021722,72747.2503149,70580.6263499,72809.501183,66895.2226737,68176.7600532,62614.6204743,69094.9570467,67564.3510311,69876.6049257,71635.6175639,62095.1306687,66025.5951892,68730.1824949,66289.2109012,73583.3157514,63016.9707612,64289.1700756,67619.0318496,71332.0405069,67857.8363396,70087.8664621,70067.6043161,61237.1826241,69545.4216094,67931.2554969,56567.3390224,66664.1424643,67864.0429554,59962.9079353,73751.0660454,66349.4528727,66089.8280873,67246.6414394,60951.0441776,70368.648463,62739.0572145,68196.3362022,69189.4879547,57889.822597,69900.2752913,57913.0022717,74585.0692712,66943.5720819,69454.0857789,69424.5357391,58080.510824,57724.6839938,64289.0867423,72489.9624561,57950.7429952,70720.5819983,58295.597054,56377.8341978,72400.4809284,70581.3009517,59255.2835621,63782.1825022,72207.7343391,73773.4781202,59987.2237906,71040.0380068,60608.608679,62379.7573091,70134.3855353,70237.3009906,62674.4762327,72963.4499219,63291.5132417,65656.981015,68619.1645051,71768.5554277,65961.6639963,62676.8498578,62702.2701676
T,769.18802292,882.273063619,919.130192421,943.772525711,917.501182281,853.370227765,758.309378785,774.089456834,726.393506796,1022.89134809,748.073290384,736.970642813,997.160747291,711.258605682,772.408396219,886.452430764,764.862746089,736.050547076,987.982456011,759.149275006,809.97239095,880.504132112,964.092957466,674.348201457,949.342878204,826.537079078,740.412142552,844.298925595,625.435539582,980.552484099,749.75263089,888.65176662,881.111572304,790.877738721,841.424429954,722.604709032,838.145202841,937.998447887,899.52304156,1007.97742809,688.340007567,874.741967996,949.514877272,734.357107498,700.124570481,757.006689729,784.216032123,788.062958743,852.068615518,754.896738567,750.230443595,1043.73150404,888.436011329,936.49955631,790.11328811,647.200222499,969.79326525,792.643740017,847.527724546,845.755398239,809.755735106,852.899245739,737.306139751,803.362722285,1011.93256768,883.632233698,975.49392241,662.69833643,815.577555054,840.085319946,637.221295959,1029.43698028,844.838993324,949.514877272,763.185335302,1075.54998346,824.835312135,997.038157107,916.982884563,818.562274002,937.79584361,996.821469837,800.972721585,808.061279229,687.520749783,949.85485728,893.096620229,879.43091148,886.710230535,796.989089435,754.169502573,737.478385201,853.005798211,804.523152473,795.789802763,858.902679366,671.68976526,726.513771894,821.232164898,802.622519988

-13.285714285714286,0.0403016565356,0.0403016565356,0.0403016565356
C,467.468342149,466.102858767,467.468342149,452.326412868,444.991186877,460.127863836,455.0636827,478.353369125,490.758028574,474.07693745,460.127863836,462.795409583,490.758028574,490.758028574,490.758028574,466.102858767,482.417483012,490.758028574,482.417483012,448.455087399,490.758028574,475.808887711,453.306950748,453.306950748,479.116336895,482.417483012,430.947607487,475.808887711,490.758028574,443.985867306,475.808887711,465.948709675,450.390750134,465.948709675,469.988041872,490.758028574,472.532523285,471.923704606,472.532523285,456.974563743,476.596637173,465.948709675,490.758028574,425.369113448,452.935231547,449.421767643,443.985867306,478.353369125,432.586527428,452.326412868,490.758028574,452.326412868,465.948709675,465.339890996,453.306950748,482.417483012,476.596637173,452.326412868,452.326412868,490.758028574,465.948709675,479.116336895,439.921753419,490.758028574,472.532523285,465.339890996,482.417483012,490.758028574,482.417483012,459.127796587,452.326412868,431.581207857,442.659023251,490.758028574,415.068123461,450.390750134,477.744550446,490.758028574,490.758028574,414.266516363,474.07693745,456.974563743,423.408669022,490.758028574,455.0636827,467.468342149,462.795409583,463.404228262,430.947607487,490.758028574,490.758028574,459.134099654,445.178722973,465.339890996,490.758028574,482.417483012,463.404228262,482.417483012,472.532523285,428.427907765
L,73749.5026485,71641.2263648,69662.8031725,69361.5371898,75276.2629579,69716.2608596,66903.8368957,70788.8707805,69932.4609031,61855.1016348,66755.3664647,68498.1924211,70501.2113689,64108.6267854,67414.6073971,71899.4202252,66224.2862759,68205.9785296,70929.1800544,72339.27659,68091.8530315,57251.8493389,69714.4020785,69940.217283,63185.7788767,66886.0443475,72018.1319855,71928.0447226,69189.3823991,62799.6704363,64585.8542663,63229.6502853,71645.5840019,67645.404763,71533.9620438,57106.0496586,67833.0981014,67992.0030237,67253.6404026,65327.1362537,60438.1476189,67042.1954492,56156.2948905,68444.2163577,64493.5504594,70004.1753876,70306.0666083,70475.6370857,73775.7754766,68506.8743528,70536.271007,69343.9753668,63244.0459312,67011.1026679,72284.3904496,69607.183826,67551.766748,62820.6788969,69343.9753668,70260.2346609,70694.9756436,69793.9202626,62713.110298,68786.242596,69596.0078583,67928.8015572,72442.8886844,63495.9639113,69884.7562464,67830.8963077,69242.2532571,62782.2970949,65984.292565,62786.9505794,71528.3159077,57228.1723007,71489.0545227,66706.4983076,66954.1273559,72886.9562902,62399.5183635,66075.2937163,74144.4737174,58272.2498113,66513.2993651,71924.1277176,67691.5718735,62425.6111665,71114.2291406,64536.3746465,60479.9048581,71180.1320854,68380.6055756,61681.5878094,64218.2193898,68117.2086264,67871.6473768,70693.1470954,70822.9567775,71639.041608
T,798.373342549,806.310339368,877.3649628,798.3495427,688.182900713,761.307344853,759.064330829,838.384250361,901.889084327,923.891353459,839.295409648,932.128704281,883.524478332,895.207555999,896.579274747,759.157479236,967.371226531,905.964798803,829.242426754,820.257065697,891.376657516,926.320447772,734.394996949,717.395993541,890.964065586,1001.28269976,720.442546806,828.427597193,846.182177148,828.141005754,820.839469344,888.265824427,867.742026855,882.821579824,991.707953589,1144.03470577,871.858773669,906.574322284,905.323316433,960.052849989,851.703992109,874.932111403,1015.72208818,811.202859063,892.964027158,766.23812056,812.496522501,888.521727452,718.983603787,765.643570157,987.152832844,807.826522633,906.783527935,885.489053668,738.374474046,856.735430211,901.624940441,844.390770437,785.061165539,849.628234192,849.127554911,918.63079152,859.237121485,799.743986446,938.733643278,877.703070656,791.992298254,972.98664113,914.154901706,783.209529981,875.069600777,795.602140016,792.481358669,1000.69553731,800.72984208,1041.2705418,790.426993528,940.962821668,872.197423873,726.19972084,985.14844352,997.433214727,738.854736163,1050.13824986,820.982141225,870.461849006,848.895179567,839.010499241,736.407921273,827.244504734,943.694721435,903.37530277,832.729453256,870.849739103,1136.74658276,851.536489753,791.106576517,763.035565807,837.294636554,713.827822958

-13.285714285714286,0.0384280336234,0.0384280336234,0.0384280336234
C,490.758028574,490.758028574,424.363793877,478.353369125,438.382591576,490.758028574,490.758028574,490.758028574,445.357653756,490.758028574,490.758028574,469.988041872,484.937182734,451.717594189,466.711677446,477.744550446,484.937182734,447.84626872,449.781931455,464.167196032,438.594909363,477.744550446,424.363793877,474.07693745,475.808887711,436.838177411,490.758028574,460.859746848,479.116336895,470.012823563,477.744550446,482.417483012,465.948709675,484.937182734,451.717594189,461.64749631,482.417483012,464.167196032,448.658799873,465.339890996,459.127796587,469.404004884,484.937182734,434.318477689,477.744550446,490.758028574,490.758028574,490.758028574,490.758028574,482.417483012,490.758028574,457.608164114,475.808887711,448.634018182,467.468342149,453.698199317,475.808887711,449.267618552,456.974563743,467.468342149,475.808887711,479.116336895,451.717594189,455.82665047,465.948709675,464.731072317,475.808887711,445.89674835,470.775791333,474.07693745,475.808887711,470.775791333,463.404228262,449.781931455,475.808887711,460.127863836,490.758028574,490.758028574,469.404004884,479.116336895,463.404228262,461.64749631,447.877353478,454.454864021,460.859746848,452.935231547,490.758028574,457.608164114,475.808887711,459.127796587,447.84626872,469.988041872,490.758028574,464.731072317,477.744550446,457.608164114,465.948709675,475.808887711,450.999568813,478.353369125
L,64681.3348697,59724.469508,72884.0940659,70810.4201336,74953.6567886,71632.4021239,69784.4006629,64457.415898,70579.3412025,72812.0611289,69150.4342678,68886.6692825,69216.5357264,74017.8612636,70515.7808499,71982.0632848,72372.5310573,72938.7154264,67483.9859433,69662.0973063,72675.8796619,70244.6735317,74692.7362318,72624.9888826,68523.2772962,69136.480744,69046.3702305,65690.7935492,71839.5174137,64572.155504,65855.5283956,68811.5107883,63632.9011906,70602.4877706,73510.2548534,70658.3538008,71150.7648617,65190.0131741,72368.7064326,71156.7745033,71658.4751794,70717.7374432,63457.6625686,73158.5727169,70895.4922736,67467.0371765,70260.0971609,62738.5933375,72925.2094619,69781.0559263,69228.2716442,69813.9142828,70906.0230809,72369.9574647,68312.3048248,63533.0812427,70837.1491045,73886.1075424,71544.5856242,73250.3473514,69881.9133354,60436.8890304,73796.357651,66678.0902668,68223.2141503,72776.9107589,67479.8776102,74981.7335032,64957.3889214,69578.5447602,68913.1349149,69105.8035856,62147.3513695,74610.2524787,72298.2454189,68072.5047837,72118.436096,67912.5141749,72032.3523261,71114.4356798,71961.7319307,69682.8478604,72844.9523332,72273.9480121,63199.9675428,75413.7729093,68087.1697075,69538.0082204,70695.6845882,72003.1076317,65402.2652484,73294.0406944,70578.3247568,73842.2360254,65257.8597515,70340.3799649,71740.2432806,68721.0203298,73924.0456979,60983.7924518
T,929.046830966,947.827713675,790.416403944,806.989223912,716.124384721,837.571753211,892.047166553,972.971843202,660.368960381,839.419070625,786.388295924,824.038676686,834.231024861,716.280522812,781.767640985,823.4219553,802.247138356,743.119158214,822.061949869,866.419227751,813.68993159,811.442917025,726.321019685,774.963352645,859.756288961,687.481693223,964.588887581,875.258909525,931.070566159,831.511655219,822.529127137,799.350492193,930.854538971,888.850844074,724.535622913,784.106486728,917.021538045,843.797902151,731.107661206,810.246725515,813.253285212,845.118202395,894.817418182,745.101937628,828.708666385,918.032204633,871.525845718,987.540008978,820.393371431,836.602000731,901.619601986,833.523969294,858.546927768,765.902934793,983.990291801,776.778550786,864.860426327,755.196261095,713.88394778,771.534483906,776.499028207,947.82282348,754.174610338,857.511660308,831.877770159,751.217461059,816.88524444,734.802477327,903.218244578,934.594476912,802.52213847,905.079705319,879.42498972,727.868361899,882.218320972,768.82336266,753.687201704,892.088346526,807.169275082,855.568278993,726.132365487,750.084588745,739.575208436,771.477948396,801.619598199,730.566950074,889.136821302,754.841901939,766.6419151,679.777388186,809.658887333,734.812320981,835.758078474,751.335852587,838.214004063,739.460198056,791.032610123,908.29265074,768.091547375,873.116992062

-13.285714285714286,0.0425566837922,0.0425566837922,0.0425566837922
C,475.808887711,463.404228262,459.127796587,482.417483012,456.999345435,482.417483012,477.744550446,482.417483012,484.937182734,470.012823563,484.937182734,490.758028574,462.795409583,484.937182734,471.923704606,471.923704606,470.012823563,490.758028574,490.758028574,475.808887711,470.012823563,484.937182734,490.758028574,490.758028574,476.596637173,490.758028574,474.07693745,490.758028574,482.417483012,484.937182734,472.532523285,464.191977723,490.758028574,484.937182734,482.417483012,477.744550446,456.999345435,470.012823563,482.417483012,490.758028574,475.808887711,482.417483012,490.758028574,490.758028574,478.353369125,482.417483012,461.64749631,490.758028574,467.468342149,475.808887711,475.808887711,484.937182734,482.417483012,464.191977723,470.012823563,484.937182734,484.937182734,477.744550446,467.468342149,472.532523285,471.923704606,484.937182734,484.937182734,461.64749631,482.417483012,472.532523285,463.583159044,478.353369125,478.353369125,482.417483012,475.808887711,459.127796587,466.711677446,482.417483012,482.417483012,475.808887711,469.988041872,482.417483012,484.937182734,471.923704606,457.583382422,462.795409583,471.923704606,462.795409583,462.795409583,482.417483012,490.758028574,461.64749631,470.012823563,474.07693745,456.999345435,482.417483012,477.744550446,484.937182734,490.758028574,484.937182734,490.758028574,461.64749631,490.758028574,469.404004884
