6,0.03882813348715544,0.038566275301227936
C,435.2692285058911,435.2692285058911
L,100424.43104141926,100214.20154488593
T,779.644261876159,774.2366563662803

7,0.03921984400607926,0.038945933091114104
C,511.323130228566,524.5930709294947
L,124305.09554380046,122999.08343921797
T,896.2979191829583,919.0682455443668

8,0.0405007590357382,0.0405007590357382
C,588.3810092509159,588.3810092509159
L,154131.84991353308,154131.84991353308
T,1056.5530816217386,1056.5530816217386

9,0.041578425582727035,0.04105684566977313
C,700.9417392926628,668.1802475721554
L,198306.5095557543,203056.139641784
T,1274.974085413474,1204.8040673769597

10,0.04114788660321129,0.04000228872100489
C,790.5724560094443,790.5724560094443
L,254914.25833979502,254064.63464353228
T,1359.8255901721689,1321.570365511251

