4,0.03942617349418144,0.03942617349418144
C,396.01079692396354,396.01079692396354
L,7944.780448428532,7944.780448428532
T,231.59820362256937,231.59820362256937

8,0.03882780053962269,0.03882780053962269
C,395.86381150007054,395.86381150007054
L,30534.472717568373,30534.472717568373
T,454.4212778996016,454.4212778996016

12,0.03701476818127006,0.03701476818127006
C,398.1398813331577,398.1398813331577
L,68072.54963202533,68072.54963202533
T,652.59682878887,652.59682878887

16,0.0381065618092612,0.0381065618092612
C,379.29871455977786,379.29871455977786
L,126543.16822525428,126543.16822525428
T,861.7010628289871,861.7010628289871

20,0.03683621793090966,0.03683621793090966
C,405.2843948867604,405.2843948867604
L,196060.3049241822,196060.3049241822
T,1110.774157394843,1110.774157394843

