1,0.0772580081472,0.07684736364,0.07684736364,0.0740094528145,0.0740094528145,0.0740094528145,0.0740094528145,0.0740094528145,0.0740094528145,0.0740094528145,0.0740094528145,0.073995735663,0.073995735663,0.073995735663,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.072810098031,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186,0.0723244806186
C,464.167196032,479.116336895,479.116336895,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055,473.295491055
L,85611.3401681,89774.6617143,89774.6617143,87878.5212346,87878.5212346,87878.5212346,87878.5212346,87878.5212346,87878.5212346,87878.5212346,87878.5212346,83472.5307649,83472.5307649,83472.5307649,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,95465.2975021,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052,86602.6876052
T,2217.47764847,2294.29548151,2294.29548151,2228.5710533,2228.5710533,2228.5710533,2228.5710533,2228.5710533,2228.5710533,2228.5710533,2228.5710533,2217.73589111,2217.73589111,2217.73589111,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2210.11463047,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922,2174.88345922

5,0.0450734744451,0.0441484267333,0.0435334671453,0.0428221460786,0.0428221460786,0.0420345022775,0.0420345022775,0.0418649835999,0.0418649835999,0.0412251521039,0.0412251521039,0.0412251521039,0.0412251521039,0.0412251521039,0.0412066453745,0.0404423079697,0.0396479975931,0.0396479975931,0.0396479975931,0.0396479975931,0.0392021706059,0.0392021706059,0.0392021706059,0.0392021706059,0.0390967554467,0.0386184856036,0.0386184856036,0.0386184856036,0.0381701705109,0.0381701705109,0.0381701705109,0.0381701705109,0.0381701705109,0.0381701705109,0.0381701705109,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434,0.0376754091434
C,418.003853444,455.82665047,470.775791333,464.954945494,464.954945494,451.941467365,451.941467365,430.433294584,430.433294584,471.923704606,471.923704606,471.923704606,471.923704606,471.923704606,464.954945494,440.145626595,423.464535472,423.464535472,423.464535472,423.464535472,398.046397894,398.046397894,398.046397894,398.046397894,440.145626595,398.046397894,398.046397894,398.046397894,398.046397894,398.046397894,398.046397894,398.046397894,398.046397894,398.046397894,398.046397894,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766,385.032919766
L,91485.6778447,86537.0020151,89697.3658326,95648.0190031,95648.0190031,92080.8896782,92080.8896782,93583.5489304,93583.5489304,91307.9785659,91307.9785659,91307.9785659,91307.9785659,91307.9785659,89427.9261092,93504.5253145,92623.5391976,92623.5391976,92623.5391976,92623.5391976,93387.6130921,93387.6130921,93387.6130921,93387.6130921,101261.066244,98202.4124439,98202.4124439,98202.4124439,99846.2695246,99846.2695246,99846.2695246,99846.2695246,99846.2695246,99846.2695246,99846.2695246,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136,101225.038136
T,800.44772469,847.409147645,868.974235611,869.639141302,869.639141302,824.061146289,824.061146289,770.682548436,770.682548436,820.158047922,820.158047922,820.158047922,820.158047922,820.158047922,831.228410611,782.279593518,764.535108422,764.535108422,764.535108422,764.535108422,731.016008785,731.016008785,731.016008785,731.016008785,762.881556795,724.196464111,724.196464111,724.196464111,717.161021331,717.161021331,717.161021331,717.161021331,717.161021331,717.161021331,717.161021331,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629,696.285823629

